nr_testu;najlepsza_ocena;najlepsza_ocena %;liczba wykonanych iteracji;ILS BF improved;Plateau size;ILS TIME;PX TIME;SLIDING TIME;ILS BF MASK TIME;TIME SUM
0;426;1;85;0;40;0.314548;0.591463;5.87374e-05;6.26566e-05;0.762666
1;420;0.985915;3781;0;0;0.187694;0.234574;0.576704;6.05489e-07;3600.57
2;420;0.985915;3707;0;0;0.18664;0.23909;0.573273;5.87043e-07;3600.29
