nr_testu;najlepsza_ocena;najlepsza_ocena %;liczba wykonanych iteracji;ILS BF improved;Plateau size;ILS TIME;PX TIME;SLIDING TIME;ILS BF MASK TIME;TIME SUM
0;425;0.997653;6561;0;0;0.432075;0.566182;1.07877e-06;1.03266e-06;3600.13
1;420;0.985915;3774;0;0;0.172696;0.276323;0.549969;6.09104e-07;3601.65
2;422;0.99061;4079;0;0;0.175323;0.276147;0.547588;6.03384e-07;3601.18
