nr_testu;najlepsza_ocena;najlepsza_ocena %;liczba wykonanych iteracji;ILS BF improved;Plateau size;ILS TIME;PX TIME;SLIDING TIME;ILS BF MASK TIME;TIME SUM
0;426;1;18;0;5072;0.221432;0.524428;0.000161721;0.000148796;0.0659223
1;419;0.983568;3818;0;0;0.175041;0.267213;0.55671;6.04229e-07;3600.35
2;419;0.983568;3738;0;0;0.173066;0.270622;0.555296;5.96288e-07;3601.76
