nr_testu;najlepsza_ocena;najlepsza_ocena %;liczba wykonanych iteracji;ILS BF improved;Plateau size;ILS TIME;PX TIME;SLIDING TIME;ILS BF MASK TIME;TIME SUM
0;425;0.997653;6307;0;0;0.396876;0.601398;1.05409e-06;1.0023e-06;3601.01
1;420;0.985915;3728;0;0;0.173819;0.277926;0.547239;5.91917e-07;3601.62
2;419;0.983568;4073;0;0;0.176281;0.28266;0.540114;5.91914e-07;3600.89
