nr_testu;najlepsza_ocena;najlepsza_ocena %;liczba wykonanych iteracji;ILS BF improved;Plateau size;ILS TIME;PX TIME;SLIDING TIME;ILS BF MASK TIME;TIME SUM
0;425;0.997653;6238;0;0;0.392523;0.605784;1.02852e-06;9.74479e-07;3600.12
1;421;0.988263;3763;0;0;0.170729;0.277917;0.550322;5.99919e-07;3601.94
2;421;0.988263;4099;0;0;0.17389;0.28023;0.54492;6.02296e-07;3600.43
