nr_testu;najlepsza_ocena;najlepsza_ocena %;liczba wykonanych iteracji;ILS BF improved;Plateau size;ILS TIME;PX TIME;SLIDING TIME;ILS BF MASK TIME;TIME SUM
0;425;0.997653;6668;0;0;0.406249;0.592127;1.02957e-06;9.8218e-07;3600.53
1;419;0.983568;3925;0;0;0.178118;0.295379;0.525538;5.90256e-07;3601
2;419;0.983568;4065;0;0;0.179802;0.293734;0.525512;5.99188e-07;3600.65
