nr_testu;najlepsza_ocena;najlepsza_ocena %;liczba wykonanych iteracji;ILS BF improved;Plateau size;ILS TIME;PX TIME;SLIDING TIME;ILS BF MASK TIME;TIME SUM
0;424;0.995305;6646;0;0;0.3951;0.603266;1.06071e-06;1.01725e-06;3600.64
1;420;0.985915;3961;0;0;0.171259;0.281004;0.546769;6.02603e-07;3600.17
2;420;0.985915;4135;0;0;0.172316;0.281564;0.545169;6.02953e-07;3600.17
