nr_testu;najlepsza_ocena;najlepsza_ocena %;liczba wykonanych iteracji;ILS BF improved;Plateau size;ILS TIME;PX TIME;SLIDING TIME;ILS BF MASK TIME;TIME SUM
0;424;0.995305;6420;0;0;0.387041;0.61131;1.04642e-06;1.00388e-06;3600.89
1;419;0.983568;3884;0;0;0.172011;0.270849;0.556159;6.025e-07;3602.15
2;419;0.983568;4111;0;0;0.174407;0.268452;0.556204;5.98883e-07;3600.36
