nr_testu;najlepsza_ocena;najlepsza_ocena %;liczba wykonanych iteracji;ILS BF improved;Plateau size;ILS TIME;PX TIME;SLIDING TIME;ILS BF MASK TIME;TIME SUM
0;426;1;77;0;144;0.292977;0.606176;6.12938e-05;5.80452e-05;0.786474
1;419;0.983568;3819;0;0;0.182889;0.258331;0.557711;6.18305e-07;3600.5
2;426;1;3332;1;30001;0.180462;0.264377;0.554002;6.76003e-07;2841.9
